,제목,날자
0,신규 포털시스템 추가 오픈(5차) 안내,2021-03-10
1,교내 시스템별 사용 웹브라우저 안내,2021-02-03
2,[채용공고]한남대학교 산학협력단(무선통신융합지원사업단) 채용 공고(재공고),2021-05-28
3,[IPP일학습사업단] 2021-2학기 IPP장기현장실습 홍보설명회 실시(1차-06.04/2차-06.07),2021-05-27
4,explorer의 엣지 자동전환 해결방법 안내,2021-05-27
5,[외국어교육원] 2021 여름학기 T.S.S.C 토익특별장학생 온라인과정 모집,2021-05-27
6,[정치언론] KOBACO 광고교육원 공사 취업특강 진행 공지,2021-05-26
7,[LINC+현장실습] 2021-여름 단기현장실습((주)조선호텔앤리조트) 모집(~ 6/1 화 까지),2021-05-26
8,[LINC+현장실습] 2021-여름 단기현장실습(제주켄싱턴리조트) 모집(~ 6/7 월 까지),2021-05-26
9,[LINC+현장실습] 2021-여름 단기현장실습(제주해비치호텔앤리조드) 모집(~ 5/28 금 까지),2021-05-26
10,2021.06.14.부 비전임교원(초빙교원-연구전담교수)공개임용 공고,2021-05-25
11,[학생상담센터]서포터즈 선발 및 마음건강지킴이(또래상담) 양성프로그램 안내,2021-05-25
12,2021. 07. 01.부 사무직원 신입 채용 3차 실무진면접 합격자 명단 및 4차 경영진면접 전형 안내,2021-05-25
13,[인성플러스센터] 제2회 한남인성포럼 참석 신청 안내,2021-05-25
14,[외국어교육원] 외교원 프로그램 소개 동영상,2021-05-24
15,[외국어교육원] 2021학년도 여름학기 강좌 안내,2021-05-24
16,[대학혁신지원사업] 학생참여 대학혁신 사례영상 경진대회 개최 및 FAQ 안내,2021-05-24
17,[산학협력단] 한남대학교 에코사업단 기간제 계약직 및 파트타임 채용 공고,2021-05-24
18,[기록관리학교육원] 2021학년도 후기 신입생 모집 안내,2021-05-24
19,2021-2학기 1차 국가근로장학금 신청 안내(  ~ 6. 17일까지),2021-05-21
20,"[ICT교육원] AI/데이터 분석, 디지털 트랜스 포메이션 프로그램 강좌 개설! (2021학년도 여름학기",2021-05-21
21,[한국어교육원] 2021년 여름학기 정규과정 신입 강사 채용,2021-05-21
22,[무선통신융합지원사업단]차세대무선통신융합 지역거래 활성화를 위한 네트워크 및 마케팅 지원사업 수혜기업 모집,2021-05-21
23,[공모전] 중앙도서관 소통형 도서관 만들기 프로젝트,2021-05-21
24,[LINC+사업단] 취약계층 대상 가족사진촬영 프로그램 봉사자 모집(봉사시간 지급),2021-05-20
25,2021-2학기 국가장학금 신청안내(~6. 17까지),2021-05-20
26,[선착순 모집완료] 본관 6월 발열체크 봉사자 모집-봉사시간인정,2021-05-20
27,2021. 06. 01.부 계약직 채용 서류전형 합격자 명단 및 면접전형 안내,2021-05-20
28,[채용공고]한남대학교 산학협력단(무선통신융합지원사업단) 채용 공고(재공고),2021-05-20
29,[소공인특화지원센터] 소공인 공정 및 품질개선 지원사업 모집공고,2021-05-20
30,[06.11.(금)마감] 2021 데이터 청년 캠퍼스 교육생 모집 안내,2021-05-18
31,[외국어교육원] 해커스 인터넷강의 수강생 모집,2021-05-18
32,[교수학습센터]제6차 학습법 세미나_맞춤형 파워포인트 특강_중급(ZOOM 진행),2021-05-18
33,[국제교류팀] 2021-2022 카자흐스탄 정부초청 장학생 선발 안내,2021-05-18
34,2021학년도 독서문화상 시상계획 공지,2021-05-17
35,"[LINC+]학점받고 창업하자, 소상공창업스쿨 참여팀 모집(~5.27.)",2021-05-17
36,[중앙도서관] 2021학년도 ★독서문화상★ 시상계획 공지,2021-05-17
37,[미래차 사업단]2021 미래차 아이디어 경진대회 공고,2021-05-17
